Device,Chip,iOS 14.0,iOS 14.0.1,iOS 14.1,iOS 14.2,iOS 14.2 v2,iOS 14.2.1,iOS 14.3,iOS 14.4,iOS 14.4.1,iOS 14.4.2,iOS 14.5,iOS 14.5.1,iOS 14.6,iOS 14.7,iOS 14.7.1,iOS 14.8,iOS 14.8.1
iPhone XS,A12,"Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver",N/A,N/A,"Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, trollstore"
iPhone XS Max,A12,"Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver",N/A,N/A,"Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, trollstore"
iPhone SE (2nd Gen),A13,"Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver",N/A,N/A,"Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, trollstore"
iPhone 11,A13,"Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver",N/A,N/A,"Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, trollstore"
iPhone 11 Pro,A13,"Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver",N/A,N/A,"Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, trollstore"
iPhone 11 Pro Max,A13,"Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver",N/A,N/A,"Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, trollstore"
iPhone 12 mini,A14,N/A,N/A,"Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, trollstore","Taurine, trollstore","Taurine, trollstore","Taurine, trollstore","Taurine, trollstore"
iPhone 12,A14,N/A,N/A,"Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, trollstore","Taurine, trollstore","Taurine, trollstore","Taurine, trollstore","Taurine, trollstore"
iPhone 12 Pro,A14,N/A,N/A,"Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, trollstore","Taurine, trollstore","Taurine, trollstore","Taurine, trollstore","Taurine, trollstore"
iPhone 12 Pro Max,A14,N/A,N/A,"Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, trollstore","Taurine, trollstore","Taurine, trollstore","Taurine, trollstore","Taurine, trollstore"
,,,,,,,,,,,,,,,,,,
Device,Chip,iPadOS 14.0,iPadOS 14.0.1,iPadOS 14.1,iPadOS 14.2,iPadOS 14.2 v2,iPadOS 14.2.1,iPadOS 14.3,iPadOS 14.4,iPadOS 14.4.1,iPadOS 14.4.2,iPadOS 14.5,iPadOS 14.5.1,iPadOS 14.6,iPadOS 14.7,iPadOS 14.7.1,iPadOS 14.8,iPadOS 14.8.1
iPad 5,A9,"checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver",N/A,N/A,"checkra1n, Taurine, unc0ver",checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n
iPad 6,A10,"checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver",N/A,N/A,"checkra1n, Taurine, unc0ver",checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n
iPad 7,A10,"checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver",N/A,N/A,"checkra1n, Taurine, unc0ver",checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n
